Date,USA_GDPP,CHN_GDPP,JPN_GDPP,DEU_GDPP,IND_GDPP,GBR_GDPP,BRA_GDPP,RUS_GDPP,ZAF_GDPP,KOR_GDPP,BGD_GDPP,SGP_GDPP,HKG_GDPP,IDN_GDPP,VNM_GDPP
1982-12-31,14433.787727053,203.334919503464,9779.97490636267,9913.73764159395,275.266085855139,9146.07735701852,nan,nan,2769.09621224415,1992.51677784629,209.195741763058,6077.63424070932,6133.7668997328,580.810595521557,nan
1983-12-31,15543.8937174925,225.431928890812,10652.0147161768,9864.3449403866,292.644647182024,8691.51881306514,nan,nan,3019.09868445626,2198.93929063878,193.409373077802,6633.23667366491,5595.26055343754,510.4349865101,nan
1984-12-31,17121.2254849995,250.713969046988,11207.4523524293,9313.16941243118,278.095415220662,8179.19444064991,nan,nan,2590.01547951435,2413.27650109593,202.2878488379,7228.31758410647,6208.22615937199,522.717146902044,nan
1985-12-31,18236.8277265009,294.45884850496,11809.4603450715,9429.56921688214,297.999248705447,8652.21654247593,nan,nan,1909.73972201932,2482.39995573606,232.165821783332,7001.7667477117,6542.97352840976,514.437643513332,235.652539858881
1986-12-31,19071.2271949295,281.928120911563,17451.8349394142,13461.8310034147,312.059843942513,10611.112210096,nan,nan,2103.19171194125,2834.89033966815,221.569619138886,6799.93036332671,7434.99925513073,472.7226386688,430.188501008969
1987-12-31,20038.9410992658,251.811956961329,21141.7183951789,16677.51078816,342.071923724964,13118.586534629,nan,nan,2672.6895377158,3554.60600894471,241.794908533863,7539.02930212443,9071.39076473445,440.372378147236,585.304937175943
1988-12-31,21417.0119305191,283.537695240524,25499.8811728107,17931.2823228876,355.738409768732,15987.1680775688,nan,3778.01977539063,2780.58620680133,4748.64064406123,258.830534751186,8914.44122574729,10609.7456394545,479.810716633827,397.01436018572
1989-12-31,22857.1544330056,310.8819124049,25265.9487590208,17764.376445833,347.462029998068,16239.2821960944,2875.57771485047,3429.64990234375,2794.39621172023,5817.06556721983,274.389427801832,10394.5389962406,12097.7487914553,527.811477222369,96.1303618906514
1990-12-31,23888.6000088133,317.884673040928,25801.3950393094,22303.9613266628,368.749759408129,19095.4669984608,2554.36863119854,3494.06323242188,3160.87816137916,6609.99728316175,294.90465244279,11861.7561591366,13485.6314525052,582.678967672297,96.7192957412953
1991-12-31,24342.2589048189,333.142145400184,29428.4289039469,23357.757725073,303.850437957407,19900.7266505069,2233.87265114364,3490.45239257813,3304.82837710984,7636.9480638849,283.382285281796,14502.3799938606,15465.9245305858,629.160679800489,140.631004461734
